,WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm),WindDirecValid
26,48363,บึงกาฬ,Bueng Kan,บึงกาฬ,18.41361,103.51672,2025-06-14 07:00:00,1005.34,25.5,32.9,-1.4,24.6,-1.1,98,160.0,2.0,27.9,True
27,48372,สุโขทัย,SUKHOTHAI*,สุโขทัย,17.10611,99.8,2025-06-14 07:00:00,1005.13,27.5,35.3,0.1,26.5,-0.7,92,0.0,0.0,0.0,True
28,48373,ศรีสำโรง สกษ.,SI SAMRONG AGROMET.,สุโขทัย,17.16136,99.86167,2025-06-14 07:00:00,1005.59,27.0,34.5,0.0,26.5,-0.5,90,0.0,0.0,0.0,True
29,48376,ตาก,TAK,ตาก,16.87833,99.14333,2025-06-14 07:00:00,1006.07,28.4,34.9,-0.6,27.0,0.1,75,270.0,4.0,0.0,True
30,48375,แม่สอด,MAE SOT,ตาก,16.65917,98.55083,2025-06-14 07:00:00,1004.9,25.0,33.0,0.0,23.5,0.0,94,0.0,0.0,1.3,True
31,48377,เขื่อนภูมิพล,BHUMIBOL DAM,ตาก,17.24389,99.0025,2025-06-14 07:00:00,1004.54,26.7,34.5,1.1,26.0,-0.4,79,0.0,0.0,0.0,True
32,48387,ดอยมูเซอร์ สกษ.,DOI MU SOE AGROMET.,ตาก,16.75,98.93333,2025-06-14 07:00:00,1006.11,21.7,26.3,-0.1,20.4,-0.1,93,120.0,5.0,5.5,True
33,48385,อุ้มผาง,UMPHANG,ตาก,16.02472,98.86444,2025-06-14 07:00:00,1005.33,23.6,29.8,-2.6,22.8,0.1,95,0.0,0.0,1.9,True
34,48378,พิษณุโลก,PHITSANULOK,พิษณุโลก,16.79481,100.2793,2025-06-14 07:00:00,1006.15,27.0,34.1,-1.2,26.3,-0.5,88,120.0,3.0,0.0,True
35,48379,เพชรบูรณ์,PHETCHABUN,เพชรบูรณ์,16.43333,101.15,2025-06-14 07:00:00,1005.3,26.2,33.2,-1.2,25.9,-0.1,86,0.0,0.0,0.0,True
36,48374,หล่มสัก,LOM SAK,เพชรบูรณ์,16.77361,101.24944,2025-06-14 07:00:00,1007.25,26.1,33.2,-1.7,25.5,-0.2,87,0.0,0.0,1.9,True
37,48413,วิเชียรบุรี,WICHIAN BURI,เพชรบูรณ์,15.657,101.108,2025-06-14 07:00:00,1006.95,26.9,33.0,-0.6,25.8,-0.6,83,0.0,0.0,0.0,True
38,48380,กำแพงเพชร,KAMPHAENG PHET,กำแพงเพชร,16.48681,99.52697,2025-06-14 07:00:00,1006.28,27.4,34.3,-0.4,26.1,0.1,93,0.0,0.0,0.0,True
39,48381,ขอนแก่น,KHON KAEN,ขอนแก่น,16.46111,102.78972,2025-06-14 07:00:00,1006.75,26.0,30.3,-3.7,25.2,0.2,94,230.0,4.0,3.4,True
40,48384,ท่าพระ สกษ.,THA PHRA AGROMET.,ขอนแก่น,16.33333,102.81667,2025-06-14 07:00:00,1006.66,26.7,31.8,-2.2,24.5,1.1,88,0.0,0.0,2.1,True
41,48383,มุกดาหาร,MUKDAHAN,มุกดาหาร,16.54139,104.72889,2025-06-14 07:00:00,1004.94,26.0,27.7,-3.8,25.6,0.0,96,0.0,0.0,43.4,True
42,48386,พิจิตร สกษ.,PICHIT AGROMET.,พิจิตร,16.43806,100.2925,2025-06-14 07:00:00,1004.67,27.0,34.5,-0.7,26.8,0.4,90,110.0,8.0,0.0,True
43,48382,มหาสารคาม,MAHASARAKHAM,มหาสารคาม,16.24722,103.06805,2025-06-14 07:00:00,1004.42,27.0,31.7,-2.0,26.0,0.2,80,240.0,3.0,3.6,True
44,48390,กาฬสินธุ์,KALASIN,กาฬสินธุ์,16.3325,103.58833,2025-06-14 07:00:00,1006.91,26.2,29.0,-3.6,25.5,0.4,89,220.0,3.0,22.8,True
45,48391,อำนาจเจริญ,Amnat Charoen,อำนาจเจริญ,15.90375,104.61805,2025-06-14 07:00:00,1007.76,25.2,26.9,-1.7,24.7,0.0,98,0.0,0.0,5.0,True
46,48400,นครสวรรค์,NAKHON SAWAN,นครสวรรค์,15.67183,100.13236,2025-06-14 07:00:00,1006.58,27.5,32.9,-1.9,26.9,0.9,82,160.0,6.0,0.0,True
47,48401,ตากฟ้า สกษ.,TAKFA AGROMET.,นครสวรรค์,15.34944,100.53028,2025-06-14 07:00:00,1007.86,26.7,34.0,-0.6,25.3,0.6,79,120.0,2.0,0.0,True
48,48402,ชัยนาท สกษ.,CHAINAT AGROMET.,ชัยนาท,15.15,100.18333,2025-06-14 07:00:00,1007.24,26.5,33.9,-0.4,26.0,0.1,83,160.0,6.0,0.0,True
49,48403,ชัยภูมิ,CHAIYAPHUM,ชัยภูมิ,15.8,102.03333,2025-06-14 07:00:00,1006.94,25.9,31.7,-1.5,25.5,-0.3,88,220.0,4.0,0.01,True
50,48405,ร้อยเอ็ด,ROI ET,ร้อยเอ็ด,16.02,103.74389,2025-06-14 07:00:00,1006.32,26.0,29.0,-3.2,25.6,0.0,88,210.0,5.0,5.9,True
