WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm)
48400,นครสวรรค์,NAKHON SAWAN,นครสวรรค์,15.67183,100.13236,2025-06-11 07:00,1005.23,26.7,34.6,-0.9,25.7,-0.3,93,000,0,0.00
48401,ตากฟ้า สกษ.,TAKFA AGROMET.,นครสวรรค์,15.34944,100.53028,2025-06-11 07:00,1005.79,27.2,34.7,-0.8,26.0,1.3,87,000,0,0.00
48402,ชัยนาท สกษ.,CHAINAT AGROMET.,ชัยนาท,15.15000,100.18333,2025-06-11 07:00,1005.88,27.3,34.7,-0.2,26.7,1.8,87,000,0,0.00
48403,ชัยภูมิ,CHAIYAPHUM,ชัยภูมิ,15.80000,102.03333,2025-06-11 07:00,1004.50,27.2,34.9,-0.6,27.0,1.7,86,000,0,0.00
48405,ร้อยเอ็ด,ROI ET,ร้อยเอ็ด,16.02000,103.74389,2025-06-11 07:00,1004.44,25.1,33.1,-2.1,24.5,-2.5,99,080,3,103.70
48404,ร้อยเอ็ด สกษ.,ROI ET AGROMET.,ร้อยเอ็ด,16.07322,103.60844,2025-06-11 07:00,1004.76,25.2,33.6,-1.3,24.5,-1.3,95,040,2,67.50
48406,ยโสธร,Yasothon,ยโสธร,15.79494,104.21436,2025-06-11 07:00,1005.40,24.8,33.8,-0.3,23.5,-2.5,100,000,0,72.30
48408,อุบลราชธานี สกษ.,UBON RATCHATHANI AGROMET.,อุบลราชธานี,15.23914,105.02350,2025-06-11 07:00,1005.31,25.2,35.0,-0.3,23.8,-0.9,96,000,0,22.30
48407,อุบลราชธานี (ศูนย์ฯ),UBON RATCHATHANI,อุบลราชธานี,15.25000,104.86667,2025-06-11 07:00,1005.17,25.5,33.1,-1.7,24.5,-1.4,92,300,2,41.30
48409,ศรีสะเกษ,SI SAKET AGROMET.,ศรีสะเกษ,15.00000,104.05000,2025-06-11 07:00,1005.72,24.7,34.5,-0.2,24.4,-1.3,94,050,3,7.90
48410,อุทัยธานี,UTHAITHANI,อุทัยธานี,15.37417,100.03889,2025-06-11 07:00,1005.22,28.0,35.7,-0.3,26.6,0.6,85,000,0,0.00
48415,พระนครศรีอยุธยา,AYUTTHAYA,พระนครศรีอยุธยา,14.53472,100.72500,2025-06-11 07:00,1005.93,29.8,36.5,-0.1,23.5,-0.7,75,220,2,0.00
48417,นครนายก,NAKORNNAYOK,นครนายก,14.36222,101.39278,2025-06-11 07:00,1005.18,19.8,24.6,-1.5,19.1,-0.5,99,260,11,54.80
48419,ปทุมธานี สกษ.,PATHUMTHANI,ปทุมธานี,14.10000,100.61667,2025-06-11 07:00,1006.39,28.5,36.0,0.6,28.0,0.5,78,240,4,0.00
48458,ฉะเชิงเทรา,CHACHOENGSAO,ฉะเชิงเทรา,13.51556,101.45833,2025-06-11 07:00,1006.68,27.6,33.8,-1.2,27.0,1.9,83,230,1,0.00
