WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm)
48401,ตากฟ้า สกษ.,TAKFA AGROMET.,นครสวรรค์,15.34944,100.53028,2025-06-11 07:00:00,1005.79,27.2,34.7,-0.8,26.0,1.3,87,0.0,0.0,0.0
48402,ชัยนาท สกษ.,CHAINAT AGROMET.,ชัยนาท,15.15,100.18333,2025-06-11 07:00:00,1005.88,27.3,34.7,-0.2,26.7,1.8,87,0.0,0.0,0.0
48403,ชัยภูมิ,CHAIYAPHUM,ชัยภูมิ,15.8,102.03333,2025-06-11 07:00:00,1004.5,27.2,34.9,-0.6,27.0,1.7,86,0.0,0.0,0.0
48405,ร้อยเอ็ด,ROI ET,ร้อยเอ็ด,16.02,103.74389,2025-06-11 07:00:00,1004.44,25.1,33.1,-2.1,24.5,-2.5,99,80.0,3.0,103.7
48404,ร้อยเอ็ด สกษ.,ROI ET AGROMET.,ร้อยเอ็ด,16.07322,103.60844,2025-06-11 07:00:00,1004.76,25.2,33.6,-1.3,24.5,-1.3,95,40.0,2.0,67.5
48406,ยโสธร,Yasothon,ยโสธร,15.79494,104.21436,2025-06-11 07:00:00,1005.4,24.8,33.8,-0.3,23.5,-2.5,100,0.0,0.0,72.3
48408,อุบลราชธานี สกษ.,UBON RATCHATHANI AGROMET.,อุบลราชธานี,15.23914,105.0235,2025-06-11 07:00:00,1005.31,25.2,35.0,-0.3,23.8,-0.9,96,0.0,0.0,22.3
48407,อุบลราชธานี (ศูนย์ฯ),UBON RATCHATHANI,อุบลราชธานี,15.25,104.86667,2025-06-11 07:00:00,1005.17,25.5,33.1,-1.7,24.5,-1.4,92,300.0,2.0,41.3
48409,ศรีสะเกษ,SI SAKET AGROMET.,ศรีสะเกษ,15.0,104.05,2025-06-11 07:00:00,1005.72,24.7,34.5,-0.2,24.4,-1.3,94,50.0,3.0,7.9
48410,อุทัยธานี,UTHAITHANI,อุทัยธานี,15.37417,100.03889,2025-06-11 07:00:00,1005.22,28.0,35.7,-0.3,26.6,0.6,85,0.0,0.0,0.0
48415,พระนครศรีอยุธยา,AYUTTHAYA,พระนครศรีอยุธยา,14.53472,100.725,2025-06-11 07:00:00,1005.93,29.8,36.5,-0.1,23.5,-0.7,75,220.0,2.0,0.0
48417,นครนายก,NAKORNNAYOK,นครนายก,14.36222,101.39278,2025-06-11 07:00:00,1005.18,19.8,24.6,-1.5,19.1,-0.5,99,260.0,11.0,54.8
48419,ปทุมธานี สกษ.,PATHUMTHANI,ปทุมธานี,14.1,100.61667,2025-06-11 07:00:00,1006.39,28.5,36.0,0.6,28.0,0.5,78,240.0,4.0,0.0
48458,ฉะเชิงเทรา,CHACHOENGSAO,ฉะเชิงเทรา,13.51556,101.45833,2025-06-11 07:00:00,1006.68,27.6,33.8,-1.2,27.0,1.9,83,230.0,1.0,0.0
48464,ราชบุรี,RATCHA BURI,ราชบุรี,13.48931,99.79239,2025-06-11 07:00:00,1006.05,27.5,34.9,0.4,26.9,1.4,73,290.0,3.0,0.01
48425,สุพรรณบุรี,SUPHAN BURI,สุพรรณบุรี,14.47444,100.13889,2025-06-11 07:00:00,1005.63,28.2,35.5,-1.1,27.0,0.6,77,90.0,4.0,0.0
48427,อู่ทอง สกษ.,U THONG AGROMET.,สุพรรณบุรี,14.30361,99.86472,2025-06-11 07:00:00,1005.81,28.2,35.2,-1.0,26.7,0.6,88,230.0,10.0,0.0
48426,ลพบุรี,LOP BURI,ลพบุรี,14.79972,100.645,2025-06-11 07:00:00,1005.2,27.5,34.7,-0.7,25.7,-0.1,81,210.0,2.0,0.0
48418,บัวชุม,BUA CHUM,ลพบุรี,15.26667,101.18736,2025-06-11 07:00:00,1005.05,27.8,35.9,-2.1,26.2,1.6,82,250.0,2.0,0.0
48457,นำร่อง,PILOT STATION,สมุทรปราการ,13.39389,100.59944,2025-06-11 07:00:00,1005.28,28.3,32.4,-0.6,27.5,-0.5,85,200.0,8.0,0.0
48420,สมุทรปราการ สกษ.,Samut Prakarn,สมุทรปราการ,13.51667,100.76167,2025-06-11 07:00:00,1005.29,29.0,32.6,-0.2,28.8,2.1,75,250.0,8.0,0.0
48429,สนามบินสุวรรณภูมิ,SUVARNABHUMI AIRPORT,สมุทรปราการ,13.68639,100.7675,2025-06-11 07:00:00,1005.98,27.9,33.2,-0.1,26.5,-0.8,93,270.0,4.0,0.0
48430,ปราจีนบุรี,PRACHIN BURI,ปราจีนบุรี,14.05842,101.3693,2025-06-11 07:00:00,1005.08,28.0,34.9,0.1,27.2,1.8,88,0.0,0.0,2.0
48439,กบินทร์บุรี,KABIN BURI,ปราจีนบุรี,13.98333,101.70722,2025-06-11 07:00:00,1005.06,27.0,33.7,-0.8,26.7,0.5,92,,,0.0
48431,นครราชสีมา,NAKHON RATCHASIMA,นครราชสีมา,14.9683,102.08603,2025-06-11 07:00:00,1004.57,27.5,34.3,-2.4,26.9,1.1,82,280.0,3.0,0.0
48435,ปากช่อง สกษ.,PAKCHONG AGROMET.,นครราชสีมา,14.64389,101.33194,2025-06-11 07:00:00,1005.23,26.2,32.1,-1.1,25.5,2.3,76,250.0,13.0,0.0
48434,โชคชัย,CHOK CHAI,นครราชสีมา,14.71889,102.16861,2025-06-11 07:00:00,1004.71,27.0,34.3,-2.7,26.3,0.6,84,240.0,4.0,0.0
48432,สุรินทร์,SURIN,สุรินทร์,14.88333,103.5,2025-06-11 07:00:00,1005.31,26.7,34.4,-1.1,25.8,0.3,96,0.0,0.0,2.3
48433,สุรินทร์ สกษ.,SURIN AGROMET.,สุรินทร์,14.88333,103.45,2025-06-11 07:00:00,1004.92,26.7,33.9,-1.3,26.0,0.8,97,0.0,0.0,1.4
48416,ท่าตูม,THA TUM,สุรินทร์,15.31667,103.68333,2025-06-11 07:00:00,1004.29,27.0,34.7,0.5,23.5,-1.4,90,120.0,2.0,24.6
48437,บุรีรัมย์,BURIRUM,บุรีรัมย์,15.22575,103.24808,2025-06-11 07:00:00,1005.17,25.0,35.5,0.9,24.2,-0.3,96,0.0,0.0,4.4
48436,นางรอง,NANG RONG,บุรีรัมย์,14.58333,102.8,2025-06-11 07:00:00,1004.67,26.1,33.6,-1.1,25.2,1.0,83,240.0,2.0,4.0
48438,สมุทรสงคราม,SAMUTSONGKRAM,สมุทรสงคราม,13.40778,100.03222,2025-06-11 07:00:00,1005.4,28.5,34.2,0.4,27.9,0.3,75,280.0,3.0,0.0
48462,อรัญประเทศ,ARANYA PRATHET,สระแก้ว,13.7,102.58333,2025-06-11 07:00:00,1004.93,27.7,34.2,-1.8,26.9,0.0,90,0.0,0.0,2.8
