WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,Observation
48354,อุดรธานี,UDON THANI,อุดรธานี,"{'@Unit': 'decimal degree', '#text': '17.38333'}","{'@Unit': 'decimal degree', '#text': '102.80000'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.38'}, 'Temperature': {'@Unit': 'celcius', '#text': '23.4'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.4'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '1.2'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '23.3'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-1.1'}, 'RelativeHumidity': {'@Unit': '%', '#text': '98'}, 'WindDirection': {'@Unit': 'degree', '#text': '140'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '3'}, 'Rainfall': {'@Unit': 'mm', '#text': '46.40'}}"
48356,สกลนคร,SAKON NAKHON,สกลนคร,"{'@Unit': 'decimal degree', '#text': '17.15000'}","{'@Unit': 'decimal degree', '#text': '104.13333'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.88'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.5'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '32.8'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '0.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.0'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-1.6'}, 'RelativeHumidity': {'@Unit': '%', '#text': '100'}, 'WindDirection': {'@Unit': 'degree', '#text': '280'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '6'}, 'Rainfall': {'@Unit': 'mm', '#text': '66.30'}}"
48355,สกลนคร สกษ.,SAKON NAKHON AGROMET.,สกลนคร,"{'@Unit': 'decimal degree', '#text': '17.12503'}","{'@Unit': 'decimal degree', '#text': '104.06100'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.42'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.3'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.0'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '2.1'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.0'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-1.0'}, 'RelativeHumidity': {'@Unit': '%', '#text': '97'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '46.20'}}"
48357,นครพนม,NAKHON PHANOM,นครพนม,"{'@Unit': 'decimal degree', '#text': '17.41083'}","{'@Unit': 'decimal degree', '#text': '104.78250'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.85'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.5'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.5'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '1.2'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.7'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '2.6'}, 'RelativeHumidity': {'@Unit': '%', '#text': '89'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48358,นครพนม สกษ.,NAKHON PHANOM AGROMET.,นครพนม,"{'@Unit': 'decimal degree', '#text': '17.44306'}","{'@Unit': 'decimal degree', '#text': '104.77361'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.04'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.1'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.1'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '0.6'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.2'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '2.4'}, 'RelativeHumidity': {'@Unit': '%', '#text': '95'}, 'WindDirection': {'@Unit': 'degree', '#text': '340'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '2'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.10'}}"
48360,หนองบัวลำภู,NONG BUA LAM PHU,หนองบัวลำภู,"{'@Unit': 'decimal degree', '#text': '17.23250'}","{'@Unit': 'decimal degree', '#text': '102.42944'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.46'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.7'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '32.7'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '0.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.5'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.9'}, 'RelativeHumidity': {'@Unit': '%', '#text': '98'}, 'WindDirection': {'@Unit': 'degree', '#text': '110'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '1'}, 'Rainfall': {'@Unit': 'mm', '#text': '8.60'}}"
48363,บึงกาฬ,Bueng Kan,บึงกาฬ,"{'@Unit': 'decimal degree', '#text': '18.41361'}","{'@Unit': 'decimal degree', '#text': '103.51672'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.87'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.3'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '0.9'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.7'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.9'}, 'RelativeHumidity': {'@Unit': '%', '#text': '96'}, 'WindDirection': {'@Unit': 'degree', '#text': '320'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '1'}, 'Rainfall': {'@Unit': 'mm', '#text': '2.50'}}"
48372,สุโขทัย,SUKHOTHAI*,สุโขทัย,"{'@Unit': 'decimal degree', '#text': '17.10611'}","{'@Unit': 'decimal degree', '#text': '99.80000'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.20'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '35.2'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.5'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '26.7'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.7'}, 'RelativeHumidity': {'@Unit': '%', '#text': '92'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '1.20'}}"
48373,ศรีสำโรง สกษ.,SI SAMRONG AGROMET.,สุโขทัย,"{'@Unit': 'decimal degree', '#text': '17.16136'}","{'@Unit': 'decimal degree', '#text': '99.86167'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.69'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.9'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.4'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '26.9'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.1'}, 'RelativeHumidity': {'@Unit': '%', '#text': '94'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48376,ตาก,TAK,ตาก,"{'@Unit': 'decimal degree', '#text': '16.87833'}","{'@Unit': 'decimal degree', '#text': '99.14333'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.05'}, 'Temperature': {'@Unit': 'celcius', '#text': '28.2'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.7'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '0.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '27.0'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '0.6'}, 'RelativeHumidity': {'@Unit': '%', '#text': '75'}, 'WindDirection': {'@Unit': 'degree', '#text': '270'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '5'}, 'Rainfall': {'@Unit': 'mm', '#text': '2.60'}}"
